simu_idx,session_idx,lr
77,7,0.22217905384059256
77,8,0.2202527852902604
77,9,0.22051792403850204
78,0,0.33789239227646345
78,1,0.33458171495021216
78,2,0.3367493650828659
78,3,0.3381487885497894
78,4,0.337962891973758
78,5,0.3353314902773813
78,6,0.3356340436896852
78,7,0.33699780700550697
78,8,0.33493247519890695
78,9,0.3342799684017616
79,0,0.3998071617816197
79,1,0.39251737552235816
79,2,0.41185441699429154
79,3,0.4005250425881559
79,4,0.4151878227201333
79,5,0.39856676311674943
79,6,0.41836732281836797
79,7,0.40723469889840586
79,8,0.4040614611829107
79,9,0.3970519483092003
80,0,0.35144727304599105
80,1,0.3591452520802599
80,2,0.34679637549715625
80,3,0.3492404158342812
80,4,0.3511613171711276
80,5,0.3454966114471986
80,6,0.35004153140058525
80,7,0.34510572098525466
80,8,0.3503347274431036
80,9,0.347624758975134
81,0,0.24509110763871994
81,1,0.24825674041803308
81,2,0.2462146279058105
81,3,0.24834624666144417
81,4,0.2494768868562864
81,5,0.24815418746124152
81,6,0.24617280909689077
81,7,0.25063070989801783
81,8,0.24816827928655147
81,9,0.24989948602248604
82,0,0.1573941374140994
82,1,0.15782068840086172
82,2,0.15471025391551663
82,3,0.1553897665429543
82,4,0.1558871174790321
82,5,0.1502880259786201
82,6,0.1519718290802626
82,7,0.15459445996325588
82,8,0.15751886912723753
82,9,0.1558916834799857
83,0,0.37070888774237293
83,1,0.3729997102144047
83,2,0.37223430809796065
83,3,0.3766532350782585
83,4,0.37004058127595374
83,5,0.3734780511423548
83,6,0.3719306960327153
83,7,0.3745570330694125
83,8,0.37275963970911186
83,9,0.3694480654294563
84,0,0.12725394239496268
84,1,0.1263971177792124
84,2,0.127188888864132
84,3,0.12648403264152785
84,4,0.12704290259542236
84,5,0.12803405655655808
84,6,0.12700038045414022
84,7,0.1281266388431288
84,8,0.12758878895878442
84,9,0.1287367999013605
85,0,0.15388638020149892
85,1,0.15542624773229297
85,2,0.15419707826114187
85,3,0.15271672930294325
85,4,0.15196781172735427
85,5,0.15419382003948834
85,6,0.15335201510425633
85,7,0.15456703070974148
85,8,0.1549799215825494
85,9,0.15512617788445288
86,0,0.15608809778725477
86,1,0.1559286548486706
86,2,0.156911330928779
86,3,0.15737371602704
86,4,0.15643489455362128
86,5,0.1576270599691155
86,6,0.1563928303354838
86,7,0.15567239833092517
86,8,0.15752943468628874
86,9,0.15709906877436305
87,0,0.28750097158150933
87,1,0.2866462528890879
87,2,0.28761956466119937
87,3,0.2871734415791296
87,4,0.2855312876845444
87,5,0.28693537271327385
87,6,0.28777409727595155
87,7,0.2877547931543691
87,8,0.28722707950651877
87,9,0.2878163767221529
88,0,0.049415458957087544
88,1,0.050055156633045994
88,2,0.04956791099504298
88,3,0.04929555479597956
88,4,0.049357807987078076
88,5,0.0495199403530041
88,6,0.04743567075019676
88,7,0.04867201771786312
88,8,0.047946025651112736
88,9,0.048827171515132536
89,0,0.12718624296551062
89,1,0.12607959709713212
89,2,0.12630841618111113
89,3,0.1266411428086437
89,4,0.12591110812973982
89,5,0.1267881260849813
89,6,0.12691197282699923
89,7,0.1271904014268275
89,8,0.1239247138309208
89,9,0.12665406887546862
90,0,0.1303751707956677
90,1,0.1316881887338623
90,2,0.13085468921295604
90,3,0.13231771793132024
90,4,0.13258555639790348
90,5,0.1307507979091928
90,6,0.13252840744871255
90,7,0.13075605912721924
90,8,0.1320771331775245
90,9,0.13243743448173234
91,0,0.30815114562457024
91,1,0.30555344699333975
91,2,0.3075300144499001
91,3,0.30704199901376417
91,4,0.30455634206488325
91,5,0.3082606500856451
91,6,0.30824075500309484
91,7,0.30534212098838365
91,8,0.31001031078573266
91,9,0.30511720576857326
92,0,0.28767629377227205
92,1,0.28718395804485375
92,2,0.28650583190846235
92,3,0.2871468803468909
92,4,0.2873910293104298
92,5,0.2874670994857114
92,6,0.28712341266199587
92,7,0.28759835449241095
92,8,0.286566394884767
92,9,0.2863501931578042
93,0,0.27965698319680127
93,1,0.28044514673682835
93,2,0.28031403182250597
93,3,0.2799727463859264
93,4,0.2801987949543773
93,5,0.27936546027480225
93,6,0.28030085349156514
93,7,0.27989107788417594
93,8,0.2798505094912298
93,9,0.27986959472085127
94,0,0.10774027866237759
94,1,0.10807406822982836
94,2,0.10801544928826991
94,3,0.10763208804958357
94,4,0.10758959302409024
94,5,0.10816285739972259
94,6,0.10802393425899226
94,7,0.10815317593908624
94,8,0.10811524061831398
94,9,0.1084178085951221
95,0,0.31169866272207863
95,1,0.3120426945395224
95,2,0.31465861955932384
95,3,0.31404711874597824
95,4,0.3141591386430741
95,5,0.3141164267770367
95,6,0.3112207728558971
95,7,0.31323764773215323
95,8,0.3119167530370106
95,9,0.3149817379180363
96,0,0.19996266893683065
96,1,0.1981068092589606
96,2,0.19886114849055772
96,3,0.20073301383203954
96,4,0.1987277367149514
96,5,0.1948181031110408
96,6,0.19368002796270195
96,7,0.1932791034122339
96,8,0.19147153067531236
96,9,0.19650117280648374
97,0,0.18628927520690053
97,1,0.18221440656358642
97,2,0.18601537597378276
97,3,0.18600671184946066
97,4,0.1854418722935948
97,5,0.18417637945120713
97,6,0.18343845483732707
97,7,0.1849802939400758
97,8,0.1868557607766912
97,9,0.18514720752691616
98,0,0.21814575255603674
98,1,0.21678378185913288
98,2,0.21720122684096627
98,3,0.21866346915459547
98,4,0.2168458612797016
98,5,0.21758097349936187
98,6,0.21640273442219005
98,7,0.21744904538807266
98,8,0.21593961187516728
98,9,0.21705429822958935
99,0,0.3130836876449329
99,1,0.31173111317783686
99,2,0.31285747970573563
99,3,0.3133573593576803
99,4,0.31235424541037954
99,5,0.311306569947434
99,6,0.3133553907848267
99,7,0.3127985886548586
99,8,0.311393687014844
99,9,0.31188257383704815
